Train No.	San Francisco	22nd Street	Bayshore	South San Francisco	San Bruno	Millbrae	Broadway	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Atherton	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose Diridon	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy	San Jose
194	9:30 PM	9:34 PM	9:39 PM	9:46 PM	9:50 PM	9:56 PM		10:01 PM	10:04 PM	10:08 PM	10:11 PM	10:15 PM	10:18 PM	10:23 PM		10:28 PM	10:32 PM	10:35 PM	10:39 PM	10:44 PM	10:49 PM	10:53 PM	10:58 PM		11:06 PM	11:11 PM						
324	7:59 AM	8:03 AM				8:16 AM					8:24 AM			8:31 AM			8:37 AM			8:50 AM					9:05 AM							
198	12:05 PM	12:10 PM	12:15 PM	12:21 PM	12:25 PM	12:29 PM		12:33 PM	12:36 PM	12:40 PM	12:43 PM	12:47 PM	12:50 PM	12:55 PM		13:00 PM	13:04 PM	13:07 PM	13:11 PM	13:16 PM	13:21 PM	13:25 PM	13:30 PM		13:38 PM							
330	8:35 AM	8:39 AM				8:52 AM								9:11 AM		9:17 AM	9:21 AM			9:28 AM					9:43 AM	9:48 AM						
206	6:05 AM	6:09 AM				6:22 AM		6:26 AM	6:30 AM		6:34 AM		6:39 AM	6:44 AM		6:50 AM	6:54 AM	6:57 AM		7:04 AM		7:09 AM			7:19 AM							
208	6:15 AM	6:19 AM	6:24 AM	6:31 AM	6:35 AM	6:39 AM		6:44 AM	6:48 AM	6:51 AM	6:54 AM	6:58 AM	7:02 AM	7:06 AM			7:14 AM						7:27 AM		7:36 AM							
212	6:45 AM	6:51 AM				7:04 AM			7:11 AM				7:18 AM	7:23 AM		7:29 AM	7:33 AM	7:37 AM	7:41 AM	7:46 AM	7:51 AM	7:56 AM	8:03 AM	8:06 AM	8:12 AM							
216	7:05 AM	7:10 AM			7:20 AM			7:27 AM	7:31 AM		7:35 AM		7:40 AM			7:48 AM	7:52 AM			7:59 AM		8:07 AM			8:20 AM							
218	7:15 AM	7:19 AM	7:24 AM	7:31 AM	7:35 AM	7:39 AM		7:44 AM	7:48 AM	7:51 AM	7:54 AM	7:58 AM	8:02 AM	8:06 AM			8:14 AM						8:27 AM		8:36 AM							
222	7:45 AM	7:51 AM				8:04 AM			8:11 AM				8:18 AM	8:23 AM		8:29 AM	8:33 AM	8:37 AM	8:41 AM	8:46 AM	8:51 AM	8:56 AM	9:03 AM		9:12 AM							
226	8:05 AM	8:10 AM			8:20 AM			8:27 AM	8:31 AM		8:35 AM		8:40 AM			8:48 AM	8:52 AM			8:59 AM		9:07 AM			9:20 AM							
228	8:15 AM	8:19 AM	8:24 AM	8:31 AM	8:35 AM	8:39 AM		8:44 AM	8:48 AM	8:51 AM	8:54 AM	8:58 AM	9:02 AM	9:06 AM			9:14 AM						9:27 AM		9:36 AM							
102	4:55 AM	4:59 AM	5:04 AM	5:10 AM	5:14 AM	5:18 AM		5:22 AM	5:25 AM	5:28 AM	5:32 AM	5:35 AM	5:38 AM	5:41 AM		5:47 AM	5:51 AM	5:55 AM	5:59 AM	6:04 AM	6:10 AM	6:15 AM	6:22 AM		6:31 AM							
104	5:25 AM	5:29 AM	5:34 AM	5:40 AM	5:44 AM	5:48 AM		5:53 AM	5:57 AM	6:00 AM	6:03 AM	6:07 AM	6:10 AM	6:15 AM		6:20 AM	6:24 AM	6:28 AM	6:32 AM	6:37 AM	6:42 AM	6:46 AM	6:51 AM		7:01 AM	7:06 AM						
236	9:45 AM				9:57 AM	10:01 AM		10:06 AM	10:10 AM		10:14 AM	10:18 AM	10:21 AM	10:26 AM		10:31 AM	10:35 AM	10:38 AM	10:43 AM	10:47 AM	10:52 AM	10:56 AM	11:02 AM		11:12 AM	11:17 AM						
274	5:32 PM	5:36 PM	5:42 PM	5:51 PM	5:55 PM	6:00 PM		6:05 PM	6:09 PM	6:12 PM	6:15 PM	6:19 PM	6:22 PM	6:28 PM		6:34 PM				6:42 PM	6:47 PM	6:51 PM	6:57 PM		7:06 PM	7:11 PM	7:18 PM	7:24 PM	7:37 PM	7:43 PM	7:56 PM	
366	4:38 PM					4:53 PM			4:59 PM					5:08 PM			5:15 PM	5:18 PM			5:29 PM				5:44 PM	5:49 PM						
232	8:45 AM	8:49 AM				9:02 AM			9:09 AM		9:13 AM		9:18 AM	9:23 AM		9:29 AM	9:33 AM	9:37 AM	9:41 AM	9:46 AM	9:51 AM	9:56 AM	10:03 AM		10:11 AM							
370	5:16 PM					5:33 PM					5:43 PM						5:56 PM			6:03 PM					6:18 PM							
376	5:38 PM					5:53 PM			5:59 PM					6:08 PM			6:15 PM	6:18 PM			6:29 PM				6:44 PM	6:49 PM						
380	6:16 PM					6:33 PM					6:43 PM						6:55 PM			7:02 PM					7:18 PM							
254	2:43 PM				2:55 PM	2:59 PM		3:04 PM	3:07 PM		3:11 PM	3:15 PM	3:18 PM	3:23 PM		3:28 PM	3:32 PM	3:36 PM	3:40 PM	3:45 PM	3:50 PM	3:54 PM	3:59 PM		4:09 PM	4:14 PM						
