Train No.	San Francisco	22nd Street	Bayshore	South San Francisco	San Bruno	Millbrae	Broadway	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Atherton	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose Diridon	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy	Tamien
199	12:05 PM	11:58 PM	11:52 PM	11:46 PM	11:42 PM	11:38 PM		11:34 PM	11:30 PM	11:27 PM	11:24 PM	11:21 PM	11:17 PM	11:13 PM		11:07 PM	11:04 PM	10:59 PM	10:54 PM	10:50 PM	10:45 PM	10:40 PM	10:35 PM		10:30 PM							
329	9:11 AM					8:52 AM			8:44 AM					8:34 AM			8:27 AM				8:14 AM				8:04 AM	7:59 AM						
207	7:24 AM			7:09 AM		7:03 AM					6:54 AM			6:47 AM		6:41 AM	6:38 AM	6:34 AM	6:29 AM	6:25 AM	6:20 AM	6:12 AM	6:06 AM		5:59 AM	5:51 AM						
211	7:57 AM	7:50 AM	7:41 AM	7:34 AM	7:30 AM	7:26 AM		7:21 AM	7:18 AM	7:14 AM	7:11 AM	7:07 AM	7:04 AM	6:59 AM		6:54 AM		6:48 AM		6:42 AM	6:36 AM		6:28 AM		6:23 AM							
215	8:07 AM				7:50 AM			7:43 AM	7:38 AM		7:34 AM		7:29 AM				7:21 AM	7:17 AM		7:11 AM	7:06 AM				6:54 AM							
267	5:42 PM	5:35 PM			5:24 PM			5:17 PM	5:13 PM		5:09 PM		5:05 PM			4:57 PM	4:54 PM			4:46 PM		4:39 PM			4:30 PM							
217	8:24 AM			8:09 AM		8:03 AM					7:54 AM			7:47 AM		7:41 AM	7:38 AM	7:34 AM	7:29 AM	7:25 AM	7:20 AM	7:12 AM	7:06 AM		6:59 AM	6:50 AM	6:42 AM	6:36 AM	6:21 AM	6:15 AM	6:06 AM	
221	8:58 AM	8:51 AM	8:43 AM	8:35 AM	8:31 AM	8:27 AM		8:22 AM	8:19 AM	8:15 AM	8:12 AM	8:08 AM	8:05 AM	8:00 AM		7:54 AM		7:49 AM		7:44 AM	7:38 AM	7:33 AM	7:28 AM		7:23 AM	7:15 AM	7:04 AM	6:58 AM	6:43 AM	6:37 AM	6:28 AM	
225	9:07 AM				8:50 AM			8:43 AM	8:38 AM		8:34 AM		8:29 AM				8:21 AM	8:17 AM		8:11 AM	8:06 AM				7:54 AM							
227	9:29 AM			9:14 AM		9:08 AM					8:59 AM			8:51 AM		8:44 AM	8:41 AM	8:36 AM	8:32 AM	8:28 AM	8:22 AM	8:15 AM	8:08 AM	8:03 AM	7:59 AM	7:53 AM	7:42 AM	7:36 AM	7:21 AM	7:15 AM	7:06 AM	
101	6:03 AM	5:57 AM	5:51 AM	5:45 AM	5:41 AM	5:36 AM		5:32 AM	5:28 AM	5:25 AM	5:22 AM	5:18 AM	5:15 AM	5:10 AM		5:04 AM	5:01 AM	4:57 AM	4:52 AM	4:48 AM	4:43 AM	4:39 AM	4:33 AM		4:28 AM							
195	10:20 PM	10:13 PM	10:07 PM	10:01 PM	9:57 PM	9:52 PM		9:48 PM	9:44 PM	9:41 PM	9:38 PM	9:35 PM	9:31 PM	9:27 PM		9:20 PM	9:17 PM	9:13 PM	9:08 PM	9:05 PM	9:00 PM	8:55 PM	8:50 PM		8:45 PM	8:37 PM						
103	6:38 AM	6:32 AM	6:26 AM	6:20 AM	6:16 AM	6:11 AM		6:06 AM	6:03 AM	5:59 AM	5:56 AM	5:52 AM	5:49 AM	5:44 AM		5:39 AM	5:36 AM	5:31 AM	5:27 AM	5:23 AM	5:18 AM	5:13 AM	5:08 AM		5:03 AM	4:55 AM						
233	10:09 AM				9:53 AM	9:48 AM		9:43 AM	9:40 AM		9:35 AM	9:32 AM	9:28 AM	9:24 AM		9:17 AM	9:14 AM	9:09 AM	9:04 AM	9:00 AM	8:55 AM	8:50 AM	8:44 AM		8:39 AM	8:28 AM						
231	9:52 AM	9:45 AM	9:39 AM	9:32 AM	9:28 AM	9:24 AM		9:19 AM	9:15 AM	9:12 AM	9:09 AM	9:05 AM	9:02 AM	8:57 AM		8:51 AM				8:42 AM	8:36 AM		8:28 AM		8:23 AM							
237	11:17 AM				11:02 AM	10:57 AM		10:52 AM	10:49 AM		10:44 AM	10:40 AM	10:37 AM	10:32 AM		10:26 AM	10:23 AM	10:18 AM	10:14 AM	10:10 AM	10:05 AM	10:00 AM	9:55 AM		9:50 AM	9:37 AM						
371	5:51 PM	5:45 PM				5:30 PM					5:18 PM			5:11 PM			5:05 PM			4:57 PM					4:45 PM							
375	6:27 PM	6:21 PM				6:06 PM								5:49 PM		5:43 PM	5:40 PM			5:32 PM					5:20 PM							
191	8:42 PM	8:36 PM	8:30 PM	8:24 PM	8:20 PM	8:15 PM		8:10 PM	8:07 PM	8:03 PM	8:00 PM	7:57 PM	7:53 PM	7:49 PM		7:43 PM	7:40 PM	7:35 PM	7:31 PM	7:27 PM	7:22 PM	7:18 PM	7:12 PM		7:07 PM							
381	6:51 PM	6:45 PM				6:30 PM					6:18 PM			6:11 PM			6:05 PM			5:57 PM					5:45 PM							
