Train No.	San Francisco	22nd Street	Bayshore	So. San Francisco	San Bruno	Millbrae	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy
252	1:37 PM				1:51 PM	1:55 PM	1:59 PM	2:02 PM		2:06 PM	2:09 PM	2:12 PM	2:17 PM	2:22 PM	2:25 PM	2:29 PM	2:33 PM	2:37 PM	2:42 PM	2:46 PM	2:51 PM		3:00 PM	3:07 PM					
154	2:07 PM	2:12 PM	2:17 PM	2:23 PM	2:27 PM	2:31 PM	2:35 PM	2:38 PM	2:41 PM	2:44 PM	2:47 PM	2:50 PM	2:55 PM	3:00 PM	3:03 PM	3:07 PM	3:11 PM	3:15 PM	3:20 PM	3:24 PM	3:29 PM		3:38 PM						
256	2:37 PM				2:51 PM	2:55 PM	2:59 PM	3:02 PM		3:06 PM	3:09 PM	3:12 PM	3:17 PM	3:22 PM	3:25 PM	3:29 PM	3:33 PM	3:37 PM	3:42 PM	3:46 PM	3:51 PM		4:00 PM	4:07 PM					
158	3:07 PM	3:12 PM	3:17 PM	3:23 PM	3:27 PM	3:31 PM	3:35 PM	3:38 PM	3:41 PM	3:44 PM	3:47 PM	3:50 PM	3:55 PM	4:00 PM	4:03 PM	4:07 PM	4:11 PM	4:15 PM	4:20 PM	4:24 PM	4:29 PM	4:32 PM	4:39 PM	4:45 PM	4:52 PM	4:58 PM	5:11 PM	5:17 PM	5:30 PM
260	3:37 PM				3:51 PM	3:55 PM	3:59 PM	4:02 PM		4:06 PM	4:09 PM	4:12 PM	4:17 PM	4:22 PM	4:25 PM	4:29 PM	4:33 PM	4:37 PM	4:42 PM	4:46 PM	4:51 PM		5:00 PM	5:07 PM					
362	4:09 PM					4:25 PM				4:33 PM					4:44 PM			4:51 PM					5:06 PM						
264	4:19 PM				4:33 PM		4:38 PM	4:42 PM		4:47 PM		4:51 PM			5:01 PM	5:05 PM		5:11 PM	5:16 PM				5:27 PM						
266	4:27 PM	4:32 PM	4:40 PM	4:48 PM	4:52 PM	4:56 PM	5:00 PM	5:04 PM	5:07 PM	5:11 PM	5:14 PM	5:18 PM	5:22 PM@	5:28 PM				5:36 PM			5:47 PM		5:55 PM						
368	4:33 PM					4:49 PM		4:57 PM					5:06 PM		5:12 PM				5:21 PM				5:32 PM	5:39 PM					
270	4:56 PM			5:08 PM		5:14 PM				5:22 PM			5:28 PM@	5:34 PM	5:38 PM	5:42 PM	5:46 PM	5:50 PM	5:55 PM	6:01 PM*	6:08 PM*		6:16 PM	6:22 PM	6:29 PM	6:35 PM	6:48 PM	6:54 PM	7:07 PM
372	5:14 PM					5:30 PM				5:38 PM					5:49 PM			5:56 PM					6:11 PM						
274	5:20 PM				5:34 PM		5:39 PM	5:43 PM		5:48 PM		5:52 PM			6:02 PM	6:06 PM		6:12 PM	6:17 PM				6:28 PM						
276	5:27 PM	5:32 PM	5:40 PM	5:48 PM	5:52 PM	5:56 PM	6:00 PM	6:04 PM	6:07 PM	6:11 PM	6:14 PM	6:18 PM	6:22 PM@	6:28 PM				6:36 PM		6:43 PM	6:48 PM		6:56 PM	7:02 PM	7:09 PM	7:15 PM	7:28 PM	7:34 PM	7:47 PM
378	5:33 PM					5:49 PM		5:57 PM					6:06 PM		6:12 PM				6:21 PM				6:32 PM	6:39 PM					
280	5:56 PM			6:08 PM		6:14 PM				6:22 PM			6:28 PM@	6:34 PM	6:38 PM	6:42 PM	6:46 PM	6:50 PM	6:55 PM	7:01 PM*	7:08 PM*		7:16 PM	7:23 PM					
382	6:14 PM					6:30 PM				6:38 PM					6:49 PM			6:56 PM					7:11 PM						
284	6:27 PM	6:32 PM	6:40 PM	6:48 PM	6:52 PM	6:56 PM	7:00 PM	7:04 PM	7:07 PM	7:11 PM	7:14 PM	7:18 PM	7:22 PM@	7:28 PM				7:36 PM			7:47 PM		7:55 PM						
386	6:33 PM					6:49 PM		6:57 PM					7:06 PM		7:12 PM				7:21 PM				7:32 PM	7:39 PM					
288	6:56 PM			7:08 PM		7:14 PM				7:22 PM			7:28 PM@	7:34 PM	7:38 PM	7:42 PM	7:46 PM	7:50 PM	7:55 PM	7:59 PM	8:04 PM		8:12 PM	8:19 PM					
190	7:20 PM	7:25 PM	7:30 PM	7:36 PM	7:40 PM	7:44 PM	7:48 PM	7:51 PM	7:54 PM	7:57 PM	8:00 PM	8:03 PM	8:08 PM	8:13 PM	8:16 PM	8:20 PM	8:24 PM	8:28 PM	8:33 PM	8:37 PM	8:42 PM		8:51 PM						
192	8:25 PM	8:30 PM	8:35 PM	8:41 PM	8:45 PM	8:49 PM	8:53 PM	8:56 PM	8:59 PM	9:02 PM	9:05 PM	9:08 PM	9:13 PM	9:18 PM	9:21 PM	9:25 PM	9:29 PM	9:33 PM	9:38 PM	9:42 PM	9:47 PM		9:56 PM	10:03 PM					
194	10:00 PM	10:05 PM	10:10 PM	10:16 PM	10:20 PM	10:24 PM	10:28 PM	10:31 PM	10:34 PM	10:37 PM	10:40 PM	10:43 PM	10:48 PM	10:53 PM	10:56 PM	11:00 PM	11:04 PM	11:08 PM	11:13 PM	11:17 PM	11:22 PM		11:31 PM	11:38 PM					
196	12:01 AM	12:06 AM	12:11 AM	12:17 AM	12:21 AM	12:25 AM	12:29 AM	12:32 AM	12:35 AM	12:38 AM	12:41 AM	12:44 AM	12:49 AM	12:54 AM	12:57 AM	1:01 AM	1:05 AM	1:09 AM	1:14 AM	1:18 AM	1:23 AM		1:32 AM
